,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin
0,-3.0,2021-04-25,London_Irish,Exeter_Chiefs,15.5,,,,,,,,,,,
1,-3.0,2021-05-07,Bristol_Bears,Gloucester_Rugby,-15.5,,,,,,,,,,,
2,-3.0,2021-05-07,Newcastle_Falcons,Northampton_Saints,1.5,,,,,,,,,,,
3,-3.0,2021-05-07,Leicester_Tigers,Harlequins,0.5,,,,,,,,,,,
4,-3.0,2021-05-08,Wasps,Worcester_Warriors,-17.5,,,,,,,,,,,
5,-3.0,2021-05-08,Bath_Rugby,Sale_Sharks,4.5,,,,,,,,,,,
6,-2.0,2021-05-09,Exeter_Chiefs,Newcastle_Falcons,-34.5,,,,,,,,,,,
7,-2.0,2021-05-14,Northampton_Saints,Wasps,-5.5,,,,,,,,,,,
8,-2.0,2021-05-14,Worcester_Warriors,Leicester_Tigers,5.5,,,,,,,,,,,
9,-2.0,2021-05-15,Harlequins,Bath_Rugby,-10.5,,,,,,,,,,,
10,-2.0,2021-05-15,Sale_Sharks,Bristol_Bears,2.5,,,,,,,,,,,
11,-2.0,2021-05-15,Gloucester_Rugby,London_Irish,-8.5,,,,,,,,,,,
12,-1.0,2021-05-22,Northampton_Saints,Exeter_Chiefs,13.5,,,,,,,,,,,
13,-1.0,2021-05-22,London_Irish,Wasps,-2.5,,,,,,,,,,,
14,-1.0,2021-05-28,Newcastle_Falcons,Worcester_Warriors,-9.5,,,,,,,,,,,
15,-1.0,2021-05-29,Leicester_Tigers,Bristol_Bears,6.5,,,,,,,,,,,
16,-1.0,2021-05-29,Sale_Sharks,Harlequins,-21.5,,,,,,,,,,,
17,0.0,2021-06-05,Wasps,Leicester_Tigers,-5.5,,,2.0,6.0,,,,,,,
18,0.0,2021-06-05,Harlequins,Newcastle_Falcons,-14.5,,,,,,,,,,,
19,0.0,2021-06-11,Exeter_Chiefs,Sale_Sharks,-10.5,,,5.0,5.0,,14.0,18.0,,2.0,1.0,
20,0.0,2021-06-11,Bath_Rugby,Northampton_Saints,-7.5,,,6.0,4.0,,7.0,15.0,,0.0,2.0,
21,0.0,2021-06-12,Bristol_Bears,Harlequins,-10.5,,,8.0,7.0,,11.0,13.0,,,,
22,0.0,2021-06-13,Exeter_Chiefs,Sale_Sharks,-8.5,,,6.0,5.0,,14.0,11.0,,0.0,1.0,
23,0.0,2021-06-19,Exeter_Chiefs,Harlequins,-10.5,,,6.0,9.0,,12.0,11.0,,1.0,1.0,
24,1.0,2021-09-17,Bristol_Bears,Saracens,-6.5,9.0,26.0,4.0,7.0,3.0,13.0,7.0,6.0,,,0.0
25,1.0,2021-09-18,Leicester_Tigers,Exeter_Chiefs,0.5,34.0,19.0,10.0,5.0,-5.0,15.0,9.0,6.0,1.0,,1.0
26,1.0,2021-09-18,Northampton_Saints,Gloucester_Rugby,-8.5,34.0,20.0,13.0,9.0,-4.0,10.0,17.0,-7.0,1.0,2.0,-1.0
27,1.0,2021-09-18,Worcester_Warriors,London_Irish,-0.5,36.0,24.0,8.0,7.0,-1.0,10.0,6.0,4.0,0.0,1.0,-1.0
28,1.0,2021-09-18,Sale_Sharks,Bath_Rugby,-6.5,20.0,19.0,4.0,5.0,1.0,14.0,14.0,0.0,1.0,,1.0
29,1.0,2021-09-19,Newcastle_Falcons,Harlequins,5.5,20.0,26.0,6.0,5.0,-1.0,10.0,9.0,1.0,,,0.0
30,2.0,2021-09-24,Gloucester_Rugby,Leicester_Tigers,1.5,26.0,33.0,3.0,8.0,5.0,11.0,14.0,-3.0,1.0,1.0,0.0
31,2.0,2021-09-25,Bath_Rugby,Newcastle_Falcons,-6.5,13.0,20.0,0.0,6.0,6.0,15.0,13.0,2.0,1.0,1.0,0.0
32,2.0,2021-09-25,Exeter_Chiefs,Northampton_Saints,-9.5,24.0,26.0,7.0,6.0,-1.0,12.0,17.0,-5.0,0.0,1.0,-1.0
33,2.0,2021-09-25,Harlequins,Worcester_Warriors,-15.5,35.0,29.0,8.0,5.0,-3.0,5.0,18.0,-13.0,0.0,1.0,-1.0
34,2.0,2021-09-25,Wasps,Bristol_Bears,3.5,44.0,8.0,15.0,6.0,-9.0,13.0,10.0,3.0,2.0,0.0,2.0
35,2.0,2021-09-26,London_Irish,Sale_Sharks,2.5,31.0,31.0,9.0,3.0,-6.0,12.0,18.0,-6.0,1.0,1.0,0.0
36,3.0,2021-10-01,Bristol_Bears,Bath_Rugby,-8.5,25.0,20.0,6.0,10.0,4.0,8.0,17.0,-9.0,0.0,2.0,-2.0
37,3.0,2021-10-02,Northampton_Saints,London_Irish,-8.5,23.0,21.0,7.0,6.0,-1.0,16.0,17.0,-1.0,2.0,0.0,2.0
38,3.0,2021-10-02,Leicester_Tigers,Saracens,4.5,13.0,12.0,6.0,9.0,3.0,16.0,20.0,-4.0,0.0,1.0,-1.0
39,3.0,2021-10-02,Newcastle_Falcons,Wasps,0.5,18.0,14.0,7.0,8.0,1.0,14.0,13.0,1.0,2.0,1.0,1.0
40,3.0,2021-10-02,Worcester_Warriors,Gloucester_Rugby,-1.5,23.0,31.0,5.0,6.0,1.0,12.0,14.0,-2.0,2.0,0.0,2.0
41,3.0,2021-10-03,Sale_Sharks,Exeter_Chiefs,3.5,15.0,25.0,8.0,5.0,-3.0,9.0,11.0,-2.0,1.0,0.0,1.0
42,4.0,2021-10-08,Harlequins,Bristol_Bears,-7.5,52.0,24.0,8.0,4.0,-4.0,8.0,15.0,-7.0,0.0,1.0,-1.0
43,4.0,2021-10-09,Exeter_Chiefs,Worcester_Warriors,-20.5,42.0,5.0,,,0.0,,,0.0,,,0.0
44,4.0,2021-10-09,Gloucester_Rugby,Sale_Sharks,-4.5,33.0,32.0,5.0,3.0,-2.0,8.0,11.0,-3.0,1.0,,1.0
