,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded
0,-3,2021-04-23,Ulster,Connacht,-8.5,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3,2021-04-24,Leinster,Munster,-1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-3,2021-04-24,Ospreys,Cardiff Blues,-8.5,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-3,2021-04-25,Dragons,Scarlets,5.0,52.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-3,2021-05-07,Glasgow Warriors,Edinburgh,-2.5,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-3,2021-05-07,Munster,Ulster,-9.5,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-3,2021-05-07,Zebre,Benetton,3.5,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-3,2021-05-08,Stormers,Bulls,1.5,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-3,2021-05-08,Sharks,Lions,-13.5,34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-2,2021-05-08,Connacht,Leinster,9.5,21.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-2,2021-05-08,Scarlets,Ospreys,-4.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-2,2021-05-09,Cardiff Blues,Dragons,-4.5,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-2,2021-05-14,Leinster,Ulster,-19.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-2,2021-05-14,Munster,Connacht,-17.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-2,2021-05-15,Bulls,Sharks,-1.5,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-2,2021-05-15,Scarlets,Cardiff Blues,-0.5,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-2,2021-05-15,Lions,Stormers,4.5,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-1,2021-05-15,Edinburgh,Glasgow Warriors,-2.5,24.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-1,2021-05-15,Benetton,Zebre,-13.5,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-1,2021-05-16,Dragons,Ospreys,1.5,26.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1,2021-05-22,Lions,Bulls,6.5,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-1,2021-05-22,Sharks,Stormers,-1.5,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-1,2021-05-28,Munster,Cardiff Blues,-12.5,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-1,2021-05-29,Dragons,Glasgow Warriors,3.5,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-1,2021-05-29,Benetton,Connacht,2.5,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2021-06-04,Connacht,Ospreys,-4.5,26.0,19.0,9.0,3.0,-6.0,17.0,12.0,5.0
26,0,2021-06-04,Glasgow Warriors,Leinster,10.5,15.0,12.0,5.0,2.0,-3.0,6.0,15.0,-9.0
27,0,2021-06-04,Bulls,Stormers,-5.5,31.0,27.0,4.0,6.0,2.0,5.0,16.0,-11.0
