,Week,Date,Home Team,Away Team,Spread,Opening Spread,Totals,home_win,away_win,inter_spread_1,inter_spread_2,inter_spread_3,Home Points,Away Points,clean_breaks_home,clean_breaks_away,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,penalties_conceded,Turnover,MOTM,Team,Unnamed: 26
0,-3.0,2024-04-26,Scarlets,Sharks,10.5,,,,,,,,,,,,,,,,,,0,0,,,
1,-3.0,2024-04-26,Ulster,Benetton,-5.5,,,,,,,,,,,,,,,,,,0,0,,,
2,-3.0,2024-04-27,Zebre,Glasgow Warriors,16.5,,,,,,,,,,,,,,,,,,0,0,,,
3,-3.0,2024-04-27,Bulls,Ospreys,-20.5,,,,,,,,,,,,,,,,,,0,0,,,
4,-3.0,2024-04-27,Cardiff Blues,Edinburgh,2.5,,,,,,,,,,,,,,,,,,0,0,,,
5,-3.0,2024-04-27,Lions,Munster,5.5,,,,,,,,,,,,,,,,,,0,0,,,
6,-3.0,2024-04-27,Stormers,Leinster,-18.5,,,,,,,,,,,,,,,,,,0,0,,,
7,-3.0,2024-04-27,Dragons,Connacht,10.5,,,,,,,,,,,,,,,,,,0,0,,,
8,-2.0,2024-05-10,Dragons,Stormers,15.5,,,,,,,,,,,,,,,,,,0,0,,,
9,-2.0,2024-05-10,Edinburgh,Zebre,-25.5,,,,,,,,,,,,,,,,,,0,0,,,
10,-2.0,2024-05-11,Bulls,Glasgow Warriors,-15.5,,,,,,,,,,,,,,,,,,0,0,,,
11,-2.0,2024-05-11,Scarlets,Ulster,8.5,,,,,,,,,,,,,,,,,,0,0,,,
12,-2.0,2024-05-11,Sharks,Benetton,-9.5,,,,,,,,,,,,,,,,,,0,0,,,
13,-2.0,2024-05-11,Munster,Connacht,-11.5,,,,,,,,,,,,,,,,,,0,0,,,
14,-2.0,2024-05-11,Lions,Cardiff Blues,-15.5,,,,,,,,,,,,,,,,,,0,0,,,
15,-2.0,2024-05-11,Leinster,Ospreys,-24.5,,,,,,,,,,,,,,,,,,0,0,,,
16,-1.0,2024-05-17,Edinburgh,Munster,3.5,,,,,,,,,,,,,,,,,,0,0,,,
17,-1.0,2024-05-17,Zebre,Scarlets,1.5,,,,,,,,,,,,,,,,,,0,0,,,
18,-1.0,2024-05-18,Bulls,Benetton,-20.5,,,,,,,,,,,,,,,,,,0,0,,,
19,-1.0,2024-05-18,Ospreys,Dragons,-16.5,,,,,,,,,,,,,,,,,,0,0,,,
20,-1.0,2024-05-18,Lions,Glasgow Warriors,-2.5,,,,,,,,,,,,,,,,,,0,0,,,
21,-1.0,2024-05-18,Connacht,Stormers,5.5,,,,,,,,,,,,,,,,,,0,0,,,
22,-1.0,2024-05-18,Sharks,Cardiff Blues,1.5,,,,,,,,,,,,,,,,,,0,0,,,
