,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 21,Unnamed: 22,Unnamed: 23,sin_bin,penalties_conceded,clean_breaks,Turnover
0,,-3.0,2023-05-12,Chiefs,Reds,-21.5,-19.5,,,22.0,25.0,5.0,4.0,13.0,10.0,3.0,6.0,9.0,6.0,0.0,0.0,,,,0.0,3.0,-1.0,6.0
1,,-3.0,2023-05-12,Force,Drua,-1.5,-1.5,,,34.0,14.0,2.0,5.0,11.0,20.0,5.0,9.0,13.0,11.0,0.0,0.0,,,,0.0,2.0,3.0,-5.0
2,,-3.0,2023-05-13,Hurricanes,Moana,-22.5,-22.5,,,71.0,22.0,11.0,5.0,11.0,14.0,6.0,2.0,10.0,9.0,0.0,0.0,,,,0.0,1.0,-6.0,-7.0
3,,-3.0,2023-05-13,Crusaders,Blues,-6.5,-5.5,,,15.0,3.0,5.0,2.0,19.0,20.0,11.0,8.0,6.0,11.0,0.0,1.0,,,,-1.0,-5.0,-3.0,-4.0
4,,-3.0,2023-05-13,Waratahs,Rebels,-8.5,-7.5,,,38.0,20.0,2.0,6.0,12.0,17.0,11.0,10.0,11.0,12.0,0.0,2.0,,,,-2.0,-1.0,4.0,-6.0
5,,-3.0,2023-05-14,Brumbies,Highlanders,-10.5,-9.5,,,48.0,32.0,8.0,8.0,13.0,21.0,3.0,5.0,9.0,7.0,0.0,0.0,,,,0.0,2.0,0.0,-6.0
6,,-2.0,2023-05-19,Moana,Crusaders,12.5,18.5,12.5,,7.0,41.0,3.0,10.0,18.0,16.0,5.0,7.0,9.0,7.0,0.0,0.0,,,,0.0,2.0,7.0,4.0
7,,-2.0,2023-05-19,Reds,Blues,10.5,9.5,10.5,,26.0,45.0,5.0,11.0,16.0,9.0,6.0,7.0,7.0,11.0,0.0,1.0,,,,-1.0,-4.0,6.0,8.0
8,,-2.0,2023-05-20,Highlanders,Rebels,-10.5,-9.5,-9.5,,20.0,17.0,5.0,4.0,19.0,18.0,10.0,12.0,10.0,18.0,0.0,1.0,,,,-1.0,-8.0,-1.0,3.0
9,,-2.0,2023-05-20,Chiefs,Hurricanes,-11.5,-9.5,-12.5,,23.0,12.0,4.0,4.0,21.0,22.0,10.0,8.0,4.0,5.0,0.0,0.0,,,,0.0,-1.0,0.0,-3.0
10,,-2.0,2023-05-20,Waratahs,Drua,-11.5,-10.5,-11.5,,32.0,18.0,4.0,4.0,13.0,16.0,13.0,8.0,12.0,8.0,0.0,0.0,,,,0.0,4.0,0.0,-8.0
11,,-2.0,2023-05-20,Force,Brumbies,4.5,11.5,6.5,,34.0,19.0,5.0,4.0,14.0,18.0,8.0,10.0,9.0,12.0,0.0,1.0,,,,-1.0,-3.0,-1.0,-2.0
12,,-1.0,2023-05-26,Highlanders,Reds,-6.5,-6.5,-6.0,-6.5,35.0,30.0,5.0,6.0,12.0,11.0,8.0,5.0,7.0,9.0,0.0,0.0,,,,0.0,-2.0,1.0,-2.0
13,,-1.0,2023-05-26,Rebels,Force,-6.5,-6.5,-6.0,-6.5,52.0,14.0,8.0,6.0,9.0,14.0,8.0,5.0,9.0,14.0,0.0,0.0,,,,0.0,-5.0,-2.0,-8.0
14,,-1.0,2023-05-27,Drua,Moana,-13.5,-13.0,-13.0,-14.5,47.0,46.0,8.0,7.0,13.0,14.0,3.0,2.0,12.0,4.0,1.0,0.0,,,,1.0,8.0,-1.0,-2.0
15,,-1.0,2023-05-27,Crusaders,Waratahs,-20.5,-23.0,-23.0,-25.5,42.0,18.0,10.0,4.0,18.0,13.0,9.0,7.0,13.0,9.0,1.0,1.0,,,,0.0,4.0,-6.0,3.0
16,,-1.0,2023-05-27,Blues,Hurricanes,-5.5,-6.0,-6.0,-6.5,36.0,25.0,6.0,3.0,19.0,10.0,5.0,7.0,11.0,9.0,0.0,0.0,,,,0.0,2.0,-3.0,11.0
17,,-1.0,2023-05-27,Brumbies,Chiefs,3.5,5.0,5.0,3.5,21.0,31.0,6.0,7.0,23.0,12.0,8.0,7.0,6.0,11.0,1.0,0.0,,,,1.0,-5.0,1.0,10.0
18,,0.0,2023-06-02,Blues,Highlanders,-15.5,-17.5,-15.5,,16.0,9.0,8.0,0.0,14.0,9.0,4.0,9.0,14.0,16.0,,1.0,,,,-1.0,-2.0,-8.0,10.0
19,,0.0,2023-06-02,Brumbies,Rebels,-10.5,-12.5,-10.5,,33.0,17.0,7.0,4.0,12.0,16.0,9.0,9.0,13.0,9.0,,1.0,,,,-1.0,4.0,-3.0,-4.0
20,,0.0,2023-06-03,Drua,Reds,2.5,3.5,2.5,,41.0,17.0,8.0,0.0,13.0,16.0,5.0,7.0,6.0,11.0,,1.0,,,,-1.0,-5.0,-8.0,-1.0
21,,0.0,2023-06-03,Hurricanes,Crusaders,4.5,3.5,4.5,,27.0,26.0,10.0,2.0,19.0,12.0,5.0,7.0,9.0,12.0,1.0,1.0,,,,0.0,-3.0,-8.0,9.0
22,,0.0,2023-06-03,Waratahs,Moana,-14.5,-13.5,-14.5,,24.0,33.0,5.0,6.0,16.0,18.0,10.0,6.0,11.0,12.0,0.0,0.0,,,,0.0,-1.0,1.0,-6.0
23,,0.0,2023-06-03,Force,Chiefs,2.5,6.5,2.5,,19.0,43.0,4.0,12.0,16.0,18.0,6.0,9.0,9.0,5.0,0.0,0.0,,,,0.0,4.0,8.0,1.0
24,,0.0,2023-05-23,Blues,Waratahs,-19.5,-17.5,,,41.0,12.0,9.0,3.0,9.0,14.0,8.0,4.0,5.0,12.0,0.0,0.0,,,,0.0,-7.0,-6.0,-9.0
25,,0.0,2023-05-23,Chiefs,Reds,-22.5,-19.5,,,29.0,20.0,10.0,2.0,9.0,13.0,4.0,7.0,9.0,7.0,0.0,0.0,,,,0.0,2.0,-8.0,-1.0
26,,0.0,2023-05-23,Crusaders,Drua,-22.5,-22.5,,,49.0,8.0,6.0,4.0,19.0,13.0,6.0,4.0,9.0,12.0,0.0,0.0,,,,0.0,-3.0,-2.0,4.0
27,,0.0,2023-05-24,Brumbies,Hurricanes,1.5,1.5,,,37.0,33.0,1.0,3.0,6.0,13.0,7.0,8.0,10.0,7.0,0.0,0.0,,,,0.0,3.0,2.0,-6.0
28,,0.0,2023-05-29,Crusaders,Blues,-3.5,-4.5,,,52.0,15.0,10.0,8.0,10.0,18.0,10.0,3.0,11.0,11.0,,1.0,,,,-1.0,0.0,-2.0,-15.0
29,,0.0,2023-05-30,Chiefs,Brumbies,-11.5,-9.5,,,19.0,6.0,3.0,1.0,9.0,10.0,5.0,3.0,11.0,1.0,0.0,0.0,,,,0.0,10.0,-2.0,-3.0
30,,0.0,2023-06-18,Crusaders,Chiefs,1.5,0.5,,,25.0,20.0,3.0,2.0,6.0,9.0,5.0,5.0,15.0,8.0,3.0,0.0,,,,3.0,7.0,-1.0,-3.0
31,,1.0,2023-02-24,Chiefs,Crusaders,-6.0,-6.0,,,33.0,29.0,6.0,3.0,12.0,12.0,4.0,6.0,9.0,8.0,,,,,,0.0,1.0,-3.0,2.0
32,,1.0,2023-02-24,Rebels,Brumbies,5.5,5.5,,,3.0,30.0,6.0,8.0,19.0,15.0,8.0,7.0,10.0,20.0,1.0,1.0,,,,0.0,-10.0,2.0,3.0
33,,1.0,2023-02-25,Force,Hurricanes,10.5,10.5,,,14.0,44.0,5.0,8.0,12.0,14.0,6.0,6.0,16.0,8.0,2.0,1.0,,,,1.0,8.0,3.0,-2.0
34,,1.0,2023-02-25,Blues,Drua,-18.5,-18.5,,,34.0,10.0,6.0,6.0,9.0,13.0,5.0,3.0,11.0,14.0,1.0,1.0,,,,0.0,-3.0,0.0,-6.0
35,,1.0,2023-02-25,Highlanders,Moana,-12.5,-12.5,,,35.0,21.0,2.0,3.0,11.0,15.0,6.0,4.0,11.0,5.0,1.0,,,,,1.0,6.0,1.0,-6.0
36,,1.0,2023-02-25,Reds,Waratahs,-5.5,-5.5,,,40.0,22.0,2.0,4.0,16.0,11.0,3.0,5.0,8.0,10.0,,1.0,,,,-1.0,-2.0,2.0,7.0
37,,2.0,2024-03-01,Highlanders,Blues,13.5,13.5,,,29.0,37.0,2.0,6.0,12.0,17.0,7.0,6.0,8.0,11.0,1.0,1.0,,,,0.0,-3.0,4.0,-6.0
38,,2.0,2024-03-01,Rebels,Force,-4.5,-4.5,,,48.0,34.0,8.0,7.0,8.0,16.0,7.0,3.0,8.0,14.0,1.0,,,,,1.0,-6.0,-1.0,-12.0
39,,2.0,2024-03-02,Moana,Drua,7.5,7.5,,,39.0,36.0,11.0,9.0,13.0,19.0,7.0,7.0,12.0,10.0,2.0,1.0,,,,1.0,2.0,-2.0,-6.0
40,,2.0,2024-03-02,Crusaders,Waratahs,-19.5,-18.5,,,24.0,37.0,6.0,6.0,17.0,15.0,6.0,7.0,9.0,11.0,2.0,1.0,,,,1.0,-2.0,0.0,3.0
41,,2.0,2024-03-03,Chiefs,Brumbies,-8.5,-8.5,,,46.0,12.0,10.0,4.0,13.0,19.0,8.0,2.0,9.0,7.0,1.0,,,,,1.0,2.0,-6.0,-12.0
42,,2.0,2024-03-03,Hurricanes,Reds,-9.5,-9.5,,,38.0,33.0,7.0,2.0,9.0,16.0,8.0,6.0,14.0,10.0,1.0,,,,,1.0,4.0,-5.0,-9.0
